"","circ_id","mmu1","mmu2","mmu3"
"301","1:64590007|64615488",4,NA,8
"302","1:65229477|65244837",NA,NA,4
"303","1:65234814|65235942",2,NA,NA
"304","1:65304407|65305085",NA,NA,4
"305","1:66812064|66841327",4,NA,4
"306","1:66840207|66846763",NA,NA,2
"307","1:69609651|69617206",5,NA,NA
"308","1:70720562|70720812",3,NA,NA
"309","1:71085836|71092880",NA,NA,3
"310","1:7190417|7190839",3,NA,NA
"311","1:7190417|7217963",4,NA,NA
"312","1:72351566|72354740",NA,NA,3
"313","1:72393401|72422928",2,NA,NA
"314","1:72420777|72422928",NA,NA,5
"315","1:7276437|7276603",NA,NA,5
"316","1:72834648|72834849",4,NA,NA
"317","1:72897543|72897760",NA,3,NA
"318","1:72899159|72899407",NA,NA,2
"319","1:72899633|72899854",6,NA,NA
"320","1:72901137|72901351",2,NA,NA
"321","1:74489653|74493242",NA,2,NA
"322","1:75006658|75008071",4,NA,NA
"323","1:75065793|75065944",NA,NA,2
"324","1:75084467|75094914",4,NA,NA
"325","1:75164328|75164750",NA,NA,5
"326","1:75340135|75340335",2,NA,NA
"327","1:75484338|75484508",NA,3,NA
"328","1:80281796|80300773",4,NA,2
"329","1:80298030|80300773",NA,NA,5
"330","1:80299501|80300773",4,NA,NA
"331","1:82211624|82212070",NA,NA,8
"332","1:82214356|82215325",NA,NA,5
"333","1:82318039|82320583",NA,NA,6
"334","1:82346012|82355425",3,NA,NA
"335","1:82853008|82854045",NA,2,3
"336","1:83474615|83474800",NA,NA,2
"337","1:84725557|84725724",5,NA,NA
"338","1:84741048|84741652",4,2,NA
"339","1:84754037|84763917",NA,2,NA
"340","1:84754037|84772048",NA,NA,4
"341","1:84760547|84763917",3,NA,NA
"342","1:84771245|84792690",2,NA,NA
"343","1:85627327|85629164",NA,NA,3
"344","1:85822372|85822555",2,NA,NA
"345","1:85832949|85835338",NA,3,NA
"346","1:86006289|86017912",NA,NA,9
"347","1:86044296|86046348",2,NA,NA
"348","1:86072183|86072415",2,NA,NA
"349","1:86514737|86520088",NA,NA,2
"350","1:86526724|86528910",3,NA,2
"351","1:86672402|86673220",NA,NA,2
"352","1:86782081|86785096",NA,NA,2
"353","1:86977571|86977789",NA,2,NA
"354","1:87217189|87225485",NA,NA,3
"355","1:87291825|87293001",2,4,14
"356","1:87291825|87301833",NA,2,22
"357","1:87291825|87306805",NA,NA,6
"358","1:87291825|87307730",21,30,142
"359","1:87291825|87331568",4,NA,NA
"360","1:87331388|87339589",NA,NA,3
"361","1:87344539|87356450",NA,2,NA
"362","1:87349212|87352948",NA,2,NA
"363","1:87350902|87352948",5,NA,2
"364","1:87361401|87364613",NA,NA,2
"365","1:87808089|87809661",18,NA,9
"366","1:87884932|87890210",2,NA,NA
"367","1:88509024|88509183",2,NA,NA
"368","1:88908030|88908948",NA,2,NA
"369","1:88908030|88911846",4,NA,NA
"370","1:89532319|89562016",5,NA,25
"371","1:89555482|89562016",17,NA,9
"372","1:89591382|89598993",16,8,28
"373","1:89653682|89671618",4,NA,2
"374","1:89671449|89694186",NA,4,NA
"375","1:89694027|89717046",NA,4,11
"376","1:89762155|89770965",7,4,10
"377","1:90348697|90348868",4,NA,NA
"378","1:90497846|90498104",3,NA,NA
"379","1:91919204|91929997",8,NA,NA
"380","1:91982622|92076216",NA,2,NA
"381","1:92075977|92076216",NA,5,11
"382","1:92075977|92090357",NA,NA,6
"383","1:92379732|92398707",3,NA,NA
"384","1:93347790|93359240",NA,NA,2
"385","1:93348805|93351596",2,NA,2
"386","1:93364815|93369972",NA,NA,2
"387","1:93425062|93428281",3,NA,NA
"388","1:93527644|93532065",2,NA,2
"389","1:93642619|93653038",5,NA,6
"390","1:93712474|93713688",NA,NA,5
"391","1:94747399|94747588",3,NA,NA
"392","1:9663796|9664308",NA,2,NA
"393","10:101961852|101962034",NA,2,NA
"394","10:102793411|102793585",2,NA,NA
"395","10:103883644|103883810",2,NA,NA
"396","10:105249077|105249648",NA,2,NA
"397","10:105659020|105662452",NA,NA,2
"398","10:108075965|108078991",2,NA,4
"399","10:108104432|108110049",7,NA,3
"400","10:108245323|108247929",NA,NA,5
"401","10:109600378|109603498",2,NA,NA
"402","10:109600378|109606185",NA,NA,2
"403","10:109652114|109660542",2,NA,2
"404","10:109688365|109699752",2,NA,NA
"405","10:111060532|111069551",NA,NA,4
"406","10:11137640|11137810",3,NA,NA
