"","circ_id","mmu1","mmu2","mmu3"
"227","1:189518832|189530878",NA,NA,4
"228","1:190541079|190566295",7,NA,NA
"229","1:190541079|190576799",NA,NA,1
"230","1:190566202|190576799",NA,2,NA
"231","1:190603788|190604148",9,NA,NA
"232","1:190603788|190631768",2,NA,11
"233","1:190617530|190620961",NA,1,NA
"234","1:190617530|190631768",10,7,20
"235","1:190665063|190675084",NA,NA,3
"236","1:191077173|191079101",NA,NA,8
"237","1:191086070|191100939",1,NA,NA
"238","1:191100837|191104863",1,3,8
"239","1:191314510|191315437",NA,NA,12
"240","1:191314510|191318773",2,NA,NA
"241","1:191481651|191495783",NA,3,11
"242","1:191488043|191495783",NA,NA,1
"243","1:191807838|191810327",3,NA,20
"244","1:192805945|192810854",3,NA,NA
"245","1:192839523|192845038",NA,NA,1
"246","1:193016723|193016941",NA,NA,1
"247","1:193021113|193023209",NA,NA,5
"248","1:23414810|23418139",NA,1,NA
"249","1:23417806|23418139",NA,NA,1
"250","1:24724477|24732082",NA,NA,8
"251","1:24750592|24770980",NA,NA,4
"252","1:30859161|30860395",5,NA,6
"253","1:30859763|30863600",1,NA,NA
"254","1:30876185|30902336",NA,1,7
"255","1:33551096|33553298",NA,1,3
"256","1:33551096|33572444",2,NA,1
"257","1:33667475|33669514",2,4,9
"258","1:33818124|33825613",NA,NA,1
"259","1:33822121|33825613",NA,1,5
"260","1:34501782|34507442",NA,NA,8
"261","1:34858672|34859090",NA,NA,2
"262","1:36185112|36189240",NA,1,NA
"263","1:36213976|36215408",NA,NA,1
"264","1:36221550|36225049",NA,2,2
"265","1:36234930|36236716",NA,1,NA
"266","1:36234930|36240846",NA,1,NA
"267","1:36266564|36274023",NA,NA,4
"268","1:36893924|36928406",NA,NA,1
"269","1:37426778|37438001",NA,NA,1
"270","1:37470373|37476559",NA,NA,1
"271","1:37495670|37503615",4,NA,NA
"272","1:37529340|37537821",3,5,7
"273","1:37529340|37575485",NA,NA,2
"274","1:37652417|37683721",NA,NA,2
"275","1:37840800|37858721",NA,NA,5
"276","1:38092696|38124733",NA,NA,2
"277","1:38122784|38147548",NA,NA,2
"278","1:38124625|38131296",NA,NA,1
"279","1:38146648|38147548",9,18,40
"280","1:39326548|39339814",15,7,29
"281","1:39326548|39351042",NA,1,NA
"282","1:39326548|39352149",NA,NA,4
"283","1:39412807|39420643",NA,NA,4
"284","1:39415504|39420643",NA,NA,3
"285","1:39428388|39430368",NA,NA,3
