"gene_id","gene_name"
"ENSMFUG00017039600004","novel_gene_311_5d71f2e7"
"ENSMFUG00017102200004","novel_gene_1751_5d71f2e7"
"ENSMFUG00017103000004","novel_gene_1369_5d71f2e7"
"ENSMFUG00017087300004","novel_gene_1123_5d71f2e7"
"ENSMFUG00017087200004","novel_gene_1122_5d71f2e7"
"ENSMFUG00017096000004","novel_gene_1226_5d71f2e7"
"ENSMFUG00017045000004","novel_gene_361_5d71f2e7"
"ENSMFUG00017096500004","novel_gene_1250_5d71f2e7"
"ENSMFUG00017066900004","novel_gene_684_5d71f2e7"
"ENSMFUG00017102700004","novel_gene_1364_5d71f2e7"
"ENSMFUG00017081900004","novel_gene_1037_5d71f2e7"
"ENSMFUG00017064400004","novel_gene_599_5d71f2e7"
"ENSMFUG00017005400004","novel_gene_46_5d71f2e7"
"ENSMFUG00017051500004","novel_gene_411_5d71f2e7"
"ENSMFUG00017073700004","novel_gene_830_5d71f2e7"
"ENSMFUG00017074300004","novel_gene_847_5d71f2e7"
"ENSMFUG00017056600004","novel_gene_471_5d71f2e7"
"ENSMFUG00017069000004","novel_gene_1933_5d71f2e7"
"ENSMFUG00017079000004","novel_gene_969_5d71f2e7"
"ENSMFUG00017015300004","novel_gene_125_5d71f2e7"
"ENSMFUG00017026700004","novel_gene_220_5d71f2e7"
"ENSMFUG00017027400004","novel_gene_1413_5d71f2e7"
"ENSMFUG00017103100004","novel_gene_1931_5d71f2e7"
"ENSMFUG00017081000004","novel_gene_1698_5d71f2e7"
"ENSMFUG00017101700004","novel_gene_1350_5d71f2e7"
"ENSMFUG00017098700004","novel_gene_1306_5d71f2e7"
"ENSMFUG00017049300004","novel_gene_1765_5d71f2e7_novel_gene_384_5d71f2e7"
"ENSMFUG00017016700004","novel_gene_136_5d71f2e7"
"ENSMFUG00017055600004","novel_gene_1615_5d71f2e7"
"ENSMFUG00017101200004","novel_gene_1347_5d71f2e7"
"ENSMFUG00017039500004","novel_gene_308_5d71f2e7"
"ENSMFUG00017031200014","novel_gene_1551_5d71f2e7"
"ENSMFUG00017074500004","novel_gene_859_5d71f2e7"
"ENSMFUG00017027600004","novel_gene_230_5d71f2e7"
"ENSMFUG00017097300004","novel_gene_1283_5d71f2e7"
"ENSMFUG00017102600004","novel_gene_1362_5d71f2e7"
"ENSMFUG00017096100004","novel_gene_1234_5d71f2e7"
"ENSMFUG00017099000004","novel_gene_1314_5d71f2e7"
"ENSMFUG00017095900004","novel_gene_1222_5d71f2e7"
"ENSMFUG00017073000244","novel_gene_318_5d846b90"
"ENSMFUG00017073600004","novel_gene_1407_5d71f2e7"
"ENSMFUG00017032500004","novel_gene_264_5d71f2e7"
"ENSMFUG00017102800004","novel_gene_1438_5d71f2e7"
"ENSMFUG00017073100244","novel_gene_336_5d769ab4"
"ENSMFUG00017101900004","novel_gene_1352_5d71f2e7"
"ENSMFUG00017079400244","novel_gene_1694_5d71f2e7"
"ENSMFUG00017093700004","novel_gene_1441_5d71f2e7"
"ENSMFUG00017096400004","novel_gene_1248_5d71f2e7"
"ENSMFUG00017100600004","novel_gene_1331_5d71f2e7"
"ENSMFUG00017097600004","novel_gene_1904_5d71f2e7"
"ENSMFUG00017099700014","novel_gene_1912_5d71f2e7"
"ENSMFUG00017079500244","novel_gene_323_5d846b90"
"ENSMFUG00017058600004","novel_gene_551_5d71f2e7"
"ENSMFUG00017072901243","novel_gene_1678_5d71f2e7"
