"gene_id","gene_name"
"ENSMPIG00005057400244","novel_gene_1922_627a1eab"
"ENSMPIG00037001000094","novel_gene_2366_627a1eab"
"ENSMPIG00004048500244","novel_gene_91_62831269"
"ENSMPIG00004062700244","novel_gene_119_62831269"
"ENSMPIG00004013500244","novel_gene_201_62831269"
"ENSMPIG00004006300244","novel_gene_587_627a1eab"
"ENSMPIG00004082400244","novel_gene_823_627a1eab"
"ENSMPIG00004056500244","novel_gene_714_627a1eab"
"ENSMPIG00004044900244","novel_gene_86_62831269"
"ENSMPIG00004056400244","novel_gene_243_62831269"
"ENSMPIG00004079500244","novel_gene_268_62831269"
"ENSMPIG00004053300174","novel_gene_1667_627a1eab"
"ENSMPIG00004048400244","novel_gene_234_627a1eab"
"ENSMPIG00004047500174","novel_gene_1575_627a1eab"
"ENSMPIG00004020200174","novel_gene_1288_627a1eab"
"ENSMPIG00004079600244","novel_gene_802_627a1eab"
"ENSMPIG00004071300084","novel_gene_1980_627a1eab"
"ENSMPIG00004004700234","novel_gene_12_62831269"
"ENSMPIG00004044800244","novel_gene_224_627a1eab"
"ENSMPIG00004001100244","novel_gene_570_627a1eab"
"ENSMPIG00004011900084","novel_gene_1197_627a1eab"
"ENSMPIG00004077700174","novel_gene_2029_627a1eab"
"ENSMPIG00004100300084","novel_gene_2298_627a1eab"
"ENSMPIG00004023200244","novel_gene_54_62831269"
"ENSMPIG00004052800244","novel_gene_705_627a1eab"
"ENSMPIG00004005700034","novel_gene_1095_627a1eab"
"ENSMPIG00004054900244","novel_gene_708_627a1eab"
"ENSMPIG00004078000244","novel_gene_796_627a1eab"
"ENSMPIG00004012100234","novel_gene_70_627a1eab"
"ENSMPIG00004011800244","novel_gene_68_627a1eab"
"ENSMPIG00004006400244","novel_gene_191_62831269"
"ENSMPIG00004089600244","novel_gene_285_62831269"
"ENSMPIG00004045200164","novel_gene_1546_627a1eab"
"ENSMPIG00022034200244","novel_gene_82_62831269"
"ENSMPIG00022013800244","novel_gene_314_62831269"
"ENSMPIG00022011100164","novel_gene_523_627a1eab"
"ENSMPIG00022018100244","novel_gene_317_62831269"
"ENSMPIG00030015500234","novel_gene_973_627a1eab"
"ENSMPIG00030000400094","novel_gene_1010_627a1eab"
"ENSMPIG00030012100104","novel_gene_1169_627a1eab"
"ENSMPIG00010007900244","novel_gene_63_627a1eab"
"ENSMPIG00010017101173","novel_gene_1270_627a1eab"
"ENSMPIG00010015901033","novel_gene_1259_627a1eab"
"ENSMPIG00010030200234","novel_gene_75_62831269"
"ENSMPIG00010030701243","novel_gene_2254_627a1eab"
"ENSMPIG00010022400244","novel_gene_203_62831269"
"ENSMPIG00010036300064","novel_gene_1584_627a1eab"
"ENSMPIG00010015200074","novel_gene_112_627a1eab"
"ENSMPIG00010016400244","novel_gene_47_62831269"
"ENSMPIG00010044800244","novel_gene_221_62831269"
"ENSMPIG00010026900244","novel_gene_69_62831269"
"ENSMPIG00010004900044","novel_gene_1029_627a1eab"
"ENSMPIG00010011501173","novel_gene_559_627a1eab"
"ENSMPIG00010018600174","novel_gene_193_62831269"
"ENSMPIG00010052800174","novel_gene_1809_627a1eab"
"ENSMPIG00010002600244","novel_gene_13_627a1eab"
"ENSMPIG00010051100244","novel_gene_114_62831269"
"ENSMPIG00010004501103","novel_gene_1017_627a1eab"
"ENSMPIG00010022500244","novel_gene_615_627a1eab"
"ENSMPIG00010013600164","novel_gene_1214_627a1eab"
"ENSMPIG00010020700244","novel_gene_602_627a1eab"
"ENSMPIG00010019600244","novel_gene_596_627a1eab"
"ENSMPIG00010002701243","novel_gene_3_62831269"
"ENSMPIG00010039700174","novel_gene_2220_627a1eab"
"ENSMPIG00010082800244","novel_gene_2100_627a1eab"
"ENSMPIG00010084500244","novel_gene_279_62831269"
"ENSMPIG00010017800244","novel_gene_192_62831269"
"ENSMPIG00010045200064","novel_gene_1709_627a1eab"
"ENSMPIG00012039016233","novel_gene_289_627a1eab"
"ENSMPIG00012040900074","novel_gene_1285_627a1eab"
"ENSMPIG00012040100014","novel_gene_1272_627a1eab"
"ENSMPIG00012004000244","novel_gene_371_62831269"
"ENSMPIG00012014900234","novel_gene_53_62831269"
"ENSMPIG00012049000244","novel_gene_136_62831269"
"ENSMPIG00012028000244","novel_gene_228_627a1eab"
"ENSMPIG00012016700244","novel_gene_379_62831269"
"ENSMPIG00012009800104","novel_gene_86_627a1eab"
"ENSMPIG00012052700244","novel_gene_1879_627a1eab"
"ENSMPIG00012056500244","novel_gene_1893_627a1eab"
"ENSMPIG00012011000244","novel_gene_41_62831269"
