"","circ_id","mma1","mma2","mma3"
"563","11:41748754|41798812",1,NA,NA
"564","11:41785400|41798812",NA,3,NA
"565","11:45345490|45369799",11,NA,NA
"566","11:45434872|45435219",11,NA,NA
"567","11:45436278|45438996",41,NA,38
"568","11:45774607|45778298",3,NA,NA
"569","11:46729711|46733961",NA,NA,33
"570","11:47645042|47657974",1,NA,NA
"571","11:47650207|47657974",NA,NA,17
"572","11:48612965|48613943",NA,NA,21
"573","11:48663884|48664047",NA,NA,12
"574","11:48736622|48793220",6,NA,NA
"575","11:50045461|50048664",10,NA,51
"576","11:50045461|50054011",4,NA,NA
"577","11:50045461|50056869",19,NA,NA
"578","11:50045461|50060195",NA,NA,16
"579","11:50045461|50061298",13,NA,NA
"580","11:50073466|50074422",1,NA,NA
"581","11:50074318|50087741",7,NA,NA
"582","11:50342307|50346806",6,NA,NA
"583","11:50411580|50441884",6,NA,NA
"584","11:50411580|50446685",35,NA,NA
"585","11:50625352|50628263",1,NA,NA
"586","11:52578263|52584493",13,NA,NA
"587","11:52578263|52589968",3,NA,NA
"588","11:52578263|52595982",2,NA,NA
"589","11:52865481|52867288",5,NA,NA
"590","11:52979643|52979843",5,NA,NA
"591","11:53032485|53050526",NA,NA,21
"592","11:55353604|55368016",2,NA,34
"593","11:55731103|55731785",6,NA,NA
"594","11:56187933|56194143",NA,NA,11
"595","11:56826449|56866592",7,NA,NA
"596","11:56849392|56853487",7,NA,NA
"597","11:57412473|57415714",4,NA,NA
"598","11:57534706|57540817",24,NA,NA
"599","11:57535771|57540817",27,NA,NA
"600","11:62092970|62095574",2,NA,NA
"601","11:62189297|62250723",7,NA,NA
"602","11:62203533|62206414",2,NA,NA
"603","11:62213674|62213869",1,NA,NA
"604","11:62213674|62250723",1,NA,NA
"605","11:62261998|62262197",2,NA,NA
"606","11:63843736|63871688",NA,NA,18
"607","11:63855821|63884244",27,NA,NA
"608","11:63871279|63884244",2,NA,NA
"609","11:63959303|63988646",5,NA,NA
"610","11:63967256|63968303",NA,94,23
"611","11:63967256|63970662",2,NA,11
"612","11:64036006|64038455",3,NA,NA
"613","11:64278061|64301215",6,NA,NA
"614","11:64286128|64296751",NA,NA,22
"615","11:64430027|64432307",14,NA,NA
"616","11:65773821|65797524",2,37,NA
"617","11:65933234|66143207",NA,NA,29
"618","11:65967923|66143207",NA,NA,16
"619","11:66072257|66143207",NA,NA,39
"620","11:6673047|6673287",7,NA,NA
"621","11:66833235|66843134",1,NA,NA
"622","11:6733226|6747186",2,NA,NA
"623","11:68188955|68193145",8,NA,NA
"624","11:6826823|6831230",1,NA,NA
"625","11:6828542|6831230",7,NA,NA
"626","11:68357311|68357602",1,NA,NA
"627","11:68357311|68362159",3,NA,NA
"628","11:68778829|68790791",25,NA,NA
"629","11:68786828|68790791",4,NA,NA
"630","11:69099197|69109512",4,NA,NA
"631","11:69126221|69128883",13,NA,NA
"632","11:69294399|69295669",13,NA,26
"633","11:69294399|69318676",2,NA,NA
"634","11:69294399|69329304",9,NA,NA
"635","11:71172691|71179519",6,NA,NA
"636","11:71488922|71492242",3,NA,NA
"637","11:75928663|75933818",5,NA,NA
"638","11:76361685|76386449",NA,4,NA
"639","11:77537256|77539739",5,NA,NA
"640","11:78890077|78904090",1,NA,NA
"641","11:8054845|8056447",4,NA,NA
"642","11:80721906|80767396",3,NA,NA
"643","11:82434375|82434946",4,NA,NA
"644","11:84757505|84780490",2,NA,NA
"645","11:872916|901525",NA,9,NA
"646","11:92586844|92611285",3,NA,NA
"647","11:92606734|92637874",3,18,NA
"648","11:92610946|92637874",NA,NA,29
"649","11:92635968|92637874",5,NA,NA
"650","11:94017018|94034021",5,NA,NA
"651","11:94139850|94208195",1,NA,NA
"652","11:94918151|94918699",5,NA,NA
"653","11:95015951|95018379",16,NA,20
"654","11:95302066|95304083",5,NA,NA
"655","11:99874399|99886982",1,NA,NA
"656","12:100649563|100723512",5,NA,NA
"657","12:100663916|100701160",13,NA,NA
"658","12:102709777|102712652",10,NA,NA
"659","12:103520074|103527113",NA,NA,32
"660","12:103810690|103868388",NA,NA,9
"661","12:105641866|105642688",1,NA,NA
"662","12:105744789|105747125",2,NA,NA
"663","12:105925064|105925479",6,NA,NA
"664","12:105973138|105980573",NA,14,NA
"665","12:106012491|106014193",1,NA,NA
"666","12:10813642|10825313",8,NA,NA
"667","12:110043955|110062441",5,NA,NA
