"gene_id","circ_mpi1","circ_mpi2","circ_mpi3","mpi1","mpi2","mpi3"
"ENSMPIG00011050010243",23,17,8,266,348,281
"ENSMPIG00011059200244",16,18,18,0,0,0
"ENSMPIG00011059300244",16,18,18,0,0,0
"ENSMPIG00011061100244",11,14,7,0,0,0
"ENSMPIG00011061200244",11,14,7,0,0,0
"ENSMPIG00011066123243",37,14,17,2568,1930,2040
"ENSMPIG00011067124241",37,54,37,3331,3233,2885
"ENSMPIG00011067424241",17,79,17,3373,4083,3910
"ENSMPIG00011068102243",44,33,30,0,0,0
"ENSMPIG00011068200244",44,33,30,0,0,0
"ENSMPIG00012000823243",82,99,30,245,321,145
"ENSMPIG00012002221233",19,16,66,579,564,360
"ENSMPIG00012004000244",9,8,8,0,0,0
"ENSMPIG00012005024243",85,203,77,994,1279,1248
"ENSMPIG00012010824241",75,106,65,268,310,369
"ENSMPIG00012011000244",21,18,12,0,0,0
"ENSMPIG00012011100244",21,18,12,0,0,0
"ENSMPIG00012014422243",3,18,8,13,24,50
"ENSMPIG00012016224241",2,22,32,1783,2683,2054
"ENSMPIG00012016623243",17,3,10,0,0,0
"ENSMPIG00012016700244",17,3,10,0,0,0
"ENSMPIG00012018623243",53,79,75,603,729,600
"ENSMPIG00012026201243",30,55,27,5372,6287,7029
"ENSMPIG00012028000244",36,40,26,0,0,0
"ENSMPIG00012028200244",36,40,26,0,0,0
"ENSMPIG00012031524241",15,26,19,936,817,653
"ENSMPIG00012033400244",437,502,197,0,0,0
"ENSMPIG00012035821243",6,12,19,876,1027,849
"ENSMPIG00012037724241",86,124,60,2509,2718,2704
"ENSMPIG00012039624241",2,18,4,903,801,957
"ENSMPIG00012042418243",582,483,330,661,827,756
"ENSMPIG00012044919243",22,27,25,224,260,321
"ENSMPIG00012045324241",5,33,21,2657,2462,2447
"ENSMPIG00012047300244",101,185,133,1020,1270,984
"ENSMPIG00012051100244",7,8,4,9,30,7
"ENSMPIG00012053600244",26,24,9,0,8,0
"ENSMPIG00012056500244",14,43,30,0,0,0
"ENSMPIG00012056700244",14,43,30,3,17,8
"ENSMPIG00012058000244",11,12,3,0,0,0
"ENSMPIG00012058623233",292,405,191,3080,3355,2909
"ENSMPIG00013012100244",5,7,3,811,982,492
"ENSMPIG00013017724243",9,6,6,1956,1749,1303
"ENSMPIG00013020700244",32,10,4,0,0,0
"ENSMPIG00013020900244",32,10,4,0,0,0
"ENSMPIG00013024323243",36,19,19,1261,1203,1009
"ENSMPIG00013030224241",7,8,19,1799,1566,1940
"ENSMPIG00013031024241",7,36,3,1760,1812,1347
"ENSMPIG00013037817243",4,10,5,32,48,48
"ENSMPIG00013042000244",11,3,23,0,0,0
"ENSMPIG00013044521243",27,21,25,127,105,137
"ENSMPIG00013052800244",81,133,105,0,0,0
"ENSMPIG00013053000244",81,133,105,0,0,0
"ENSMPIG00013057924241",62,71,67,2725,2613,1801
"ENSMPIG00013061700244",245,304,379,3180,3002,2464
"ENSMPIG00014005320243",171,187,93,2799,2693,2292
"ENSMPIG00014009324241",8,2,6,7080,6200,4004
"ENSMPIG00014011724241",27,37,31,235,237,178
"ENSMPIG00014023823233",18,20,30,346,354,445
"ENSMPIG00014025724243",19,20,12,1588,1719,1625
"ENSMPIG00014041001243",78,171,40,603,763,663
"ENSMPIG00014051816243",183,44,226,250,325,369
"ENSMPIG00014053623233",63,76,71,6621,6625,6486
"ENSMPIG00015008124243",117,159,125,6274,7160,5708
"ENSMPIG00015018319233",7,8,3,424,510,403
"ENSMPIG00015020108243",12,15,8,147,189,223
"ENSMPIG00015024823243",32,21,21,3010,3858,3706
"ENSMPIG00015030124241",2,28,25,14014,17125,13238
"ENSMPIG00015034000244",53,79,62,0,0,0
"ENSMPIG00015034200244",53,79,62,0,0,0
"ENSMPIG00015036619243",71,85,12,692,638,423
"ENSMPIG00015042022233",14,10,22,1314,1212,1128
"ENSMPIG00015045823243",4,6,13,728,427,485
"ENSMPIG00015046723243",65,68,30,987,1080,806
"ENSMPIG00015051015243",20,21,16,2105,2264,2198
"ENSMPIG00015054123233",4,5,7,1486,1828,1456
"ENSMPIG00016002424241",5,2,4,2199,2208,2067
"ENSMPIG00016018300244",67,48,32,0,0,0
"ENSMPIG00016018400244",67,48,32,0,0,0
"ENSMPIG00016023300234",63,106,52,0,0,0
"ENSMPIG00016028124241",23,49,38,3556,2988,2695
"ENSMPIG00016030724241",6,9,8,234,259,283
"ENSMPIG00016032200244",49,45,35,0,0,0
"ENSMPIG00016032300244",49,45,35,0,0,0
"ENSMPIG00016032500244",12,11,12,1,2,0
"ENSMPIG00016039900244",4,14,2,0,0,0
"ENSMPIG00016040422243",10,6,1,1400,1559,1089
"ENSMPIG00016042200244",15,25,17,6791,10313,10398
"ENSMPIG00016045421243",13,38,17,243,198,153
"ENSMPIG00017009422243",15,10,16,2909,3021,3314
"ENSMPIG00017048524243",11,3,5,2050,2760,3605
"ENSMPIG00017051224241",25,46,61,1147,1622,1093
"ENSMPIG00017054514223",26,41,22,1759,1101,1517
"ENSMPIG00017068923233",6,22,13,2018,2811,2695
"ENSMPIG00017072623243",24,15,17,267,279,269
"ENSMPIG00017079217243",43,38,32,4536,5274,4871
"ENSMPIG00017083923243",265,383,376,15583,14105,15798
"ENSMPIG00018001423243",9,12,3,1125,951,828
"ENSMPIG00018009222233",25,64,27,428,547,597
"ENSMPIG00018010200244",122,738,255,0,0,0
"ENSMPIG00018010724241",154,191,66,2687,3768,1845
"ENSMPIG00018014500244",6,4,2,4750,5110,3819
"ENSMPIG00018015124241",7,15,14,111,128,150
"ENSMPIG00018023300244",119,83,68,0,0,0
"ENSMPIG00018023400244",119,83,68,0,0,0
"ENSMPIG00018023900244",3,1,21,0,0,0
"ENSMPIG00018024324243",51,42,18,973,1235,908
"ENSMPIG00018026500244",74,117,74,0,0,0
