"","circ_id","mpi1","mpi2","mpi3"
"171","scaffold0001:149952294|149953913","1.000","4.000","5.000"
"172","scaffold0001:151771285|151773587","144.000","123.000","151.000"
"173","scaffold0001:151773080|151773587","184.000","228.000","242.000"
"174","scaffold0001:152380758|152387938","3.000","5.000","3.000"
"175","scaffold0001:153048490|153050521","10.000","21.000","19.000"
"176","scaffold0001:153048861|153050521","2.000","11.000","10.000"
"177","scaffold0001:153063048|153063468","1.000","7.000","2.000"
"178","scaffold0001:153194515|153196051","18.000","3.000","8.000"
"179","scaffold0001:153213212|153214233","6.000","3.000","10.000"
"180","scaffold0001:153215238|153215618","1.000","28.000","24.000"
"181","scaffold0001:153266756|153268590","3.000","5.000","6.000"
"182","scaffold0001:153366848|153367010","17.000","8.000","6.000"
"183","scaffold0001:153610351|153611733","7.000","16.000","1.000"
"184","scaffold0001:153682378|153684155","40.000","22.000","14.000"
"185","scaffold0001:154571119|154576172","8.000","11.000","13.000"
"186","scaffold0001:154762446|154794381","2.000","7.000","5.000"
"187","scaffold0001:154823870|154830190","13.000","20.000","1.000"
"188","scaffold0001:154863719|154866283","4.000","4.000","4.000"
"189","scaffold0001:155321575|155331146","12.000","21.000","13.000"
"190","scaffold0001:155440189|155440969","5.000","5.000","18.000"
"191","scaffold0001:155494068|155508589","22.000","8.000","7.000"
"192","scaffold0001:155912951|155923845","10.000","6.000","5.000"
"193","scaffold0001:155912951|155928660","1.000","7.000","5.000"
"194","scaffold0001:157301414|157311532","10.000","17.000","10.000"
"195","scaffold0001:157375276|157376795","4.000","5.000","2.000"
"196","scaffold0001:157398184|157414727","10.000","3.000","3.000"
"197","scaffold0001:157423363|157425214","6.000","8.000","5.000"
"198","scaffold0001:158424507|158425554","5.000","14.000","10.000"
"199","scaffold0001:159521768|159522335","23.000","8.000","15.000"
"200","scaffold0001:159524585|159530018","27.000","30.000","43.000"
"201","scaffold0001:159684206|159696236","6.000","7.000","4.000"
"202","scaffold0001:159684206|159696295","7.000","3.000","15.000"
"203","scaffold0001:159820109|159831719","2.000","2.000","5.000"
"204","scaffold0001:160934571|160935544","13.000","17.000","4.000"
"205","scaffold0001:161038961|161039361","5.000","6.000","7.000"
"206","scaffold0001:161207232|161210771","5.000","3.000","1.000"
"207","scaffold0001:161209006|161210771","2.000","1.000","3.000"
"208","scaffold0001:161438770|161466284","11.000","11.000","16.000"
"209","scaffold0001:161624725|161640723","8.000","6.000","8.000"
"210","scaffold0001:161628623|161629994","10.000","9.000","9.000"
