"","circ_id","hsa1","hsa2","hsa3"
"184","1:180186570|180186757",NA,NA,"3.000"
"185","1:1804418|1806538",NA,"4.000",NA
"186","1:1804418|1817875",NA,"15.000",NA
"187","1:180863707|180873942",NA,"1.000",NA
"188","1:180984676|180993425",NA,"14.000","2.000"
"189","1:180984676|181005463",NA,"1.000",NA
"190","1:18126182|18126353",NA,"2.000",NA
"191","1:1815755|1839238",NA,"2.000","4.000"
"192","1:181608008|181608151",NA,"3.000",NA
"193","1:181664692|181664831",NA,NA,"2.000"
"194","1:181748803|181749137",NA,NA,"1.000"
"195","1:181982759|181982938","1.000",NA,NA
"196","1:182952413|182952559",NA,"5.000",NA
"197","1:18363446|18363638",NA,"3.000",NA
"198","1:184510650|184510821","1.000",NA,NA
"199","1:185290027|185290206",NA,"3.000",NA
"200","1:185488206|185488411",NA,NA,"1.000"
"201","1:185621931|185622090",NA,NA,"1.000"
"202","1:185931130|185931319",NA,NA,"1.000"
"203","1:186290962|186291104",NA,NA,"4.000"
"204","1:18635157|18635309",NA,NA,"2.000"
"205","1:186390710|186391791",NA,"1.000",NA
"206","1:186614995|186615168",NA,NA,"1.000"
"207","1:186849315|186870516",NA,"1.000",NA
"208","1:187397310|187397551",NA,NA,"2.000"
"209","1:190561595|190561829",NA,NA,"1.000"
"210","1:19174318|19192540",NA,"4.000",NA
"211","1:191851251|191851427",NA,NA,"2.000"
"212","1:19192187|19192540",NA,NA,"2.000"
"213","1:192842540|192842739",NA,NA,"1.000"
"214","1:193015523|193015669",NA,NA,"1.000"
"215","1:193902252|193902425",NA,"4.000",NA
"216","1:19404107|19419750",NA,"2.000",NA
"217","1:194159279|194167715",NA,"3.000",NA
"218","1:195517786|195517946",NA,NA,"1.000"
"219","1:196044223|196044430",NA,"1.000",NA
"220","1:196072287|196072453",NA,"4.000",NA
"221","1:197642710|197658369",NA,"1.000","1.000"
"222","1:197652234|197674169",NA,NA,"1.000"
"223","1:198576038|198576211",NA,"1.000",NA
"224","1:199160501|199160800",NA,NA,"3.000"
"225","1:199744263|199744451",NA,NA,"2.000"
"226","1:200198384|200198564",NA,NA,"1.000"
"227","1:200394384|200394552",NA,NA,"2.000"
"228","1:201372693|201372875","1.000",NA,NA
"229","1:201678855|201679007",NA,NA,"2.000"
"230","1:2018128|2018306",NA,NA,"2.000"
"231","1:203419953|203420098",NA,"2.000",NA
"232","1:203423934|203424116",NA,"1.000",NA
"233","1:203532721|203532904",NA,"1.000",NA
"234","1:20362591|20362750",NA,NA,"2.000"
"235","1:203845946|203846274",NA,"5.000",NA
"236","1:204091384|204091562",NA,"3.000",NA
"237","1:204130229|204130436","1.000",NA,NA
"238","1:204252203|204252370",NA,NA,"1.000"
"239","1:204420040|204420179",NA,"1.000",NA
"240","1:204460725|204460878",NA,"4.000",NA
"241","1:204558640|204570746",NA,"3.000",NA
"242","1:204602422|204602645",NA,NA,"3.000"
"243","1:204626377|204626528",NA,NA,"2.000"
"244","1:204720892|204721038",NA,"3.000",NA
"245","1:20491066|20491297","1.000",NA,NA
"246","1:205464018|205464420",NA,NA,"2.000"
"247","1:206621764|206621931",NA,NA,"2.000"
"248","1:207359545|207362779",NA,"6.000",NA
"249","1:20770929|20773610",NA,"12.000",NA
"250","1:208094429|208094595","2.000",NA,NA
"251","1:208839466|208839644",NA,NA,"2.000"
"252","1:209098090|209098275",NA,NA,"1.000"
"253","1:209288733|209288938",NA,NA,"1.000"
"254","1:209617079|209617264",NA,NA,"1.000"
"255","1:20969473|21002808","1.000",NA,NA
"256","1:209744525|209744662",NA,NA,"1.000"
"257","1:20997600|21002808",NA,NA,"1.000"
"258","1:210052363|210052526",NA,"2.000",NA
"259","1:210279562|210279730",NA,NA,"1.000"
"260","1:210400467|210418325",NA,"2.000",NA
"261","1:21050865|21089213",NA,NA,"2.000"
"262","1:21050865|21111383",NA,"7.000",NA
"263","1:21059724|21089213",NA,"1.000",NA
"264","1:211345072|211345210",NA,NA,"2.000"
"265","1:211353238|211354467",NA,NA,"1.000"
"266","1:211369050|211369225","2.000",NA,NA
"267","1:211422538|211426283",NA,"3.000",NA
"268","1:211778917|211793190",NA,"5.000",NA
"269","1:21183160|21183325","2.000",NA,NA
"270","1:211890464|211890632",NA,NA,"1.000"
"271","1:212329134|212333598",NA,"2.000",NA
"272","1:212757386|212757628",NA,"4.000",NA
"273","1:213250955|213251336","2.000",NA,NA
"274","1:213484944|213485107",NA,NA,"1.000"
"275","1:213637904|213638067",NA,NA,"4.000"
"276","1:214544645|214544851",NA,NA,"1.000"
"277","1:21507342|21507479",NA,NA,"1.000"
"278","1:215086367|215086678",NA,"9.000",NA
"279","1:215086367|215124750",NA,"6.000",NA
"280","1:215169198|215172183",NA,"5.000",NA
"281","1:215412760|215412931",NA,"4.000",NA
"282","1:215586494|215595471",NA,"13.000","7.000"
"283","1:215785347|215785673",NA,NA,"1.000"
"284","1:216790123|216790279",NA,NA,"2.000"
"285","1:21701497|21703618",NA,"3.000","3.000"
"286","1:21715388|21721764",NA,"17.000",NA
"287","1:217195606|217195763",NA,"2.000",NA
"288","1:21721035|21721764",NA,"1.000",NA
"289","1:21747066|21753119",NA,NA,"1.000"
"290","1:21748137|21751615",NA,"1.000",NA
"291","1:217734948|217735095","1.000",NA,NA
"292","1:217750019|217751691",NA,NA,"2.000"
"293","1:220005247|220007338",NA,"3.000",NA
"294","1:220157269|220159421",NA,"4.000",NA
"295","1:22121839|22122245",NA,NA,"3.000"
"296","1:221404668|221404830","1.000",NA,NA
"297","1:221454605|221454749",NA,"4.000",NA
"298","1:2215299|2215480","1.000",NA,NA
"299","1:222530372|222530537",NA,"1.000",NA
"300","1:222632164|222645685",NA,"4.000",NA
"301","1:222793315|222793487",NA,NA,"3.000"
"302","1:223804173|223806947",NA,"5.000",NA
"303","1:224235354|224235539",NA,NA,"1.000"
"304","1:224393827|224399034",NA,"1.000",NA
"305","1:224718615|224718759",NA,NA,"2.000"
"306","1:225167938|225185425",NA,"3.000",NA
"307","1:22543122|22543271",NA,NA,"3.000"
"308","1:22604757|22604937",NA,NA,"2.000"
"309","1:226521843|226522069",NA,NA,"1.000"
"310","1:226673835|226675879",NA,NA,"1.000"
"311","1:226896992|226897829",NA,NA,"2.000"
"312","1:227139697|227143008","1.000",NA,NA
"313","1:227217238|227217387",NA,NA,"2.000"
"314","1:227378358|227378505",NA,"3.000",NA
"315","1:227604473|227604611",NA,NA,"2.000"
"316","1:227814594|227814762",NA,NA,"3.000"
"317","1:228049672|228050020","1.000",NA,NA
"318","1:228356371|228356527",NA,NA,"2.000"
"319","1:228394736|228395252",NA,NA,"2.000"
