"","circ_id","mma1","mma2","mma3"
"295","1:41972136|41973007",NA,NA,8
"296","1:41972841|41979633",4,51,NA
"297","1:42140764|42155713",4,NA,NA
"298","1:42390118|42399328",2,NA,NA
"299","1:42408306|42414024",NA,NA,11
"300","1:42421864|42422606",15,NA,NA
"301","1:42421864|42429644",8,NA,NA
"302","1:42447185|42466483",3,NA,NA
"303","1:42458665|42477583",NA,33,NA
"304","1:43627748|43639211",4,NA,NA
"305","1:43627748|43640438",NA,NA,4
"306","1:44127338|44128539",10,NA,NA
"307","1:4697642|4699457",3,NA,NA
"308","1:50372896|50379488",NA,NA,16
"309","1:50372896|50393371",3,NA,NA
"310","1:50551071|50554272",17,NA,NA
"311","1:54586218|54587419",12,NA,NA
"312","1:54975668|54980181",3,NA,NA
"313","1:54980079|55019914",5,NA,NA
"314","1:54980079|55058352",5,NA,NA
"315","1:54997399|55058352",2,NA,NA
"316","1:55019813|55058352",NA,NA,15
"317","1:55043063|55058352",4,NA,26
"318","1:5709773|5720573",16,34,NA
"319","1:58194292|58200362",4,NA,NA
"320","1:59711014|59715536",4,NA,NA
"321","1:60194348|60200429",6,NA,NA
"322","1:61624110|61625301",NA,35,NA
"323","1:61915234|61916439",3,NA,NA
"324","1:63138293|63146661",197,45,134
"325","1:63142708|63143581",6,NA,NA
"326","1:64102456|64118991",2,NA,NA
"327","1:64542132|64542318",16,NA,NA
"328","1:65260317|65274216",NA,NA,18
"329","1:65587964|65592054",5,NA,NA
"330","1:67209648|67211889",5,NA,NA
"331","1:68424765|68425195",2,NA,NA
"332","1:69165513|69172441",NA,NA,27
"333","1:69273875|69288390",5,NA,NA
"334","1:69478708|69485645",21,NA,NA
"335","1:70343110|70352445",12,NA,NA
"336","1:70343110|70362985",8,NA,NA
"337","1:70570447|70637396",13,NA,NA
"338","1:71820751|71842455",2,NA,NA
"339","1:72100622|72100772",4,NA,NA
"340","1:77529808|77530042",4,NA,49
"341","1:77707887|77713614",3,NA,NA
"342","1:80325034|80325221",6,NA,NA
"343","1:81707938|81738710",NA,NA,18
"344","1:81725953|81738710",6,NA,NA
"345","1:82492045|82589277",4,NA,NA
"346","1:83517181|83517396",7,NA,NA
"347","1:84577097|84590881",NA,19,NA
"348","1:84578982|84615991",9,NA,NA
"349","1:88454964|88468595",8,NA,NA
"350","1:89126568|89197576",6,NA,NA
"351","1:89168794|89197576",5,NA,NA
"352","1:89196389|89197576",8,NA,NA
"353","1:89330115|89423419",35,NA,NA
"354","1:89331004|89426404",116,NA,NA
"355","1:90606362|90615891",13,NA,NA
"356","1:90606362|90626291",3,NA,NA
"357","1:937880|1013804",NA,3,NA
"358","1:95215800|95222227",3,NA,NA
"359","1:95234311|95241206",8,NA,NA
"360","1:95266098|95266761",2,NA,19
"361","1:95490375|95490894",NA,NA,32
"362","1:95537921|95538223",4,NA,NA
"363","1:95554755|95555075",18,NA,NA
"364","1:95554755|95616151",NA,NA,22
"365","1:95557817|95580368",9,NA,41
"366","1:95557817|95601162",4,41,NA
"367","1:95579626|95580368",NA,NA,31
"368","1:95579626|95601162",3,NA,NA
"369","1:95600982|95601162",NA,61,NA
"370","1:95600982|95616151",5,NA,NA
"371","1:95600982|95632900",NA,NA,10
"372","1:96428466|96428610",55,53,46
"373","1:96442458|96442651",NA,66,NA
"374","1:96816928|96817632",6,52,NA
"375","1:96827841|96829276",14,NA,NA
"376","1:97109337|97110909",2,NA,NA
"377","1:99434539|99461753",6,NA,NA
"378","1:99444265|99444458",8,NA,NA
"379","1:99672251|99675267",3,NA,24
"380","1:99679112|99680781",14,NA,NA
"381","1:99696738|99697462",2,NA,NA
"382","1:99786708|99787645",4,208,96
"383","1:99845386|99846956",16,NA,NA
"384","1:99944021|99944501",2,NA,NA
"385","10:10150621|10151308",8,NA,NA
"386","10:10342716|10344277",4,NA,28
"387","10:10345915|10364003",5,NA,NA
"388","10:10363488|10364003",NA,31,NA
"389","10:10367233|10393954",4,NA,NA
"390","10:10378249|10404341",2,NA,NA
"391","10:10387936|10404341",2,NA,NA
"392","10:10653648|10669100",5,NA,NA
"393","10:1093724|1115551",6,NA,NA
"394","10:11165785|11166564",19,NA,NA
"395","10:12531224|12551160",8,NA,NA
"396","10:12974832|12981793",NA,NA,45
"397","10:13070818|13075494",6,NA,NA
"398","10:13074135|13075494",4,NA,NA
"399","10:13460820|13461210",6,NA,NA
"400","10:13599873|13604959",NA,NA,26
"401","10:13649349|13652713",10,NA,NA
"402","10:13739064|13739626",NA,NA,11
"403","10:14085313|14085467",NA,30,NA
"404","10:15084184|15088947",14,NA,NA
"405","10:15258110|15259794",NA,NA,26
"406","10:15317943|15342553",7,NA,NA
"407","10:15827109|15842799",12,38,NA
"408","10:1653907|1672195",2,NA,NA
"409","10:1653907|1682166",6,NA,NA
"410","10:1697818|1699870",13,NA,NA
"411","10:18635688|18639876",NA,NA,8
"412","10:19028765|19029060",2,57,38
"413","10:19068744|19071877",4,NA,NA
"414","10:19773442|19773967",12,NA,NA
"415","10:19773442|19788114",NA,NA,20
"416","10:19808264|19812295",3,NA,NA
"417","10:19866777|19869485",8,NA,NA
"418","10:20041972|20043016",12,NA,NA
"419","10:20061822|20063932",NA,18,NA
"420","10:21548147|21567995",6,NA,NA
"421","10:22060002|22060202",9,NA,NA
"422","10:22422719|22426774",30,60,NA
"423","10:23665622|23669009",9,NA,NA
"424","10:23665622|23689803",11,NA,NA
"425","10:27958926|27970367",2,NA,NA
"426","10:28893864|28900185",12,NA,31
"427","10:28893864|28916737",36,NA,NA
"428","10:28897860|28900185",NA,32,NA
"429","10:28897860|28916737",2,NA,NA
"430","10:28940499|28957803",2,NA,NA
"431","10:31132655|31134961",5,NA,NA
"432","10:31132655|31141544",23,NA,NA
"433","10:31132655|31151619",8,NA,NA
"434","10:31132655|31173032",25,NA,NA
"435","10:31151070|31173032",NA,35,NA
"436","10:31259819|31262181",9,NA,NA
"437","10:31730122|31730588",44,126,59
"438","10:32032187|32044749",2,NA,NA
"439","10:33562909|33580560",2,NA,NA
"440","10:33929218|33935537",2,NA,NA
"441","10:34307304|34320801",2,NA,NA
"442","10:41157591|41185919",NA,43,NA
"443","10:42056872|42057430",2,NA,NA
"444","10:42869463|42873194",5,NA,NA
"445","10:43100950|43125733",NA,NA,14
"446","10:46518613|46523860",NA,35,NA
"447","10:46700881|46705659",7,NA,NA
"448","10:48354374|48355090",6,NA,NA
"449","10:4842678|4842892",7,NA,NA
"450","10:48536464|48536802",6,NA,NA
"451","10:54606031|54607536",NA,NA,34
"452","10:55985427|55992428",5,NA,NA
"453","10:55985427|56018520",8,NA,NA
"454","10:5761999|5773054",NA,NA,8
"455","10:5922958|5925258",NA,26,NA
"456","10:61562954|61575877",3,NA,NA
"457","10:62566594|62570800",4,NA,NA
"458","10:62568413|62568667",NA,NA,45
"459","10:62568413|62570800",4,NA,NA
"460","10:63285219|63285722",8,NA,NA
"461","10:6333509|6334172",4,NA,NA
"462","10:63537245|63538178",17,112,NA
"463","10:64558293|64558422",NA,10,NA
"464","10:65182312|65183613",NA,73,NA
"465","10:66058694|66066450",NA,NA,6
"466","10:66774206|66774778",NA,42,NA
"467","10:6682185|6693605",NA,NA,26
"468","10:66936363|66936519",7,NA,NA
"469","10:67605256|67607989",2,NA,30
"470","10:67963089|67963341",6,24,NA
"471","10:68793081|68793323",8,NA,NA
"472","10:68806875|68813958",12,NA,NA
"473","10:68808514|68808768",4,NA,NA
"474","10:69614634|69620455",2,NA,NA
"475","10:69614634|69675766",10,NA,NA
"476","10:69680132|69682118",NA,36,NA
"477","10:69691767|69711961",9,NA,NA
"478","10:69926282|69946555",NA,4,NA
"479","10:69983162|69994087",3,NA,NA
"480","10:70574596|70595909",NA,NA,19
"481","10:70726409|70726862",10,NA,NA
"482","10:70879833|70885599",12,NA,NA
"483","10:70936036|70948380",2,NA,NA
"484","10:70936036|70962643",4,NA,NA
"485","10:70947168|70948380",5,NA,NA
"486","10:70956871|70962643",2,NA,NA
"487","10:71029435|71029576",4,NA,NA
"488","10:71085482|71101778",4,NA,NA
"489","10:71101390|71110114",9,NA,NA
"490","10:72179577|72180864",4,NA,NA
"491","10:72442858|72443052",NA,NA,18
"492","10:72463372|72482283",NA,72,NA
"493","10:73322623|73331377",6,NA,NA
"494","10:76353719|76363234",NA,NA,47
"495","10:76360097|76378737",NA,44,NA
"496","10:76776685|76796924",3,NA,NA
"497","10:76796403|76813557",7,NA,NA
"498","10:77690924|77716061",10,NA,NA
